iter	RMSE
0	2.275821105
1	2.198085404
2	2.126002952
3	2.057275201
4	1.994330568
5	1.935377738
6	1.879323167
7	1.827475764
8	1.777940948
9	1.732142869
10	1.687693436
11	1.647013653
12	1.609266185
13	1.572559286
14	1.539537656
15	1.507892131
16	1.479109081
17	1.451970046
18	1.423777989
19	1.397783026
20	1.373307269
21	1.350573865
22	1.328777302
23	1.308456704
24	1.289348975
25	1.271190044
26	1.253860438
27	1.236083398
28	1.219270456
29	1.204164828
30	1.188552252
31	1.174522267
32	1.160916798
33	1.146919929
34	1.133848766
35	1.121010257
36	1.108691182
37	1.096133337
38	1.084445066
39	1.072958219
40	1.061512103
41	1.050632775
42	1.03948021
43	1.029299686
44	1.019725842
45	1.00927976
46	0.9997422933
47	0.9900556006
48	0.9813327483
49	0.9726616623
50	0.9642657029
51	0.9555362029
52	0.9471746517
53	0.9381129681
54	0.9296202965
55	0.9217135539
56	0.913381921
57	0.9059674326
58	0.8989558922
59	0.891319352
60	0.8843007085
61	0.8764949627
62	0.8699937404
63	0.8620885792
64	0.8545975144
65	0.8473154287
66	0.8409009511
67	0.834657789
68	0.8289568842
69	0.8231310137
70	0.8172746045
71	0.8109357256
72	0.804617599
73	0.7993964495
74	0.7936824391
75	0.7884978598
76	0.783351062
77	0.7767855932
78	0.7711025689
79	0.7661204792
80	0.7608851887
81	0.7562247916
82	0.7507758989
83	0.7462798224
84	0.7412878706
85	0.7369947068
86	0.7316470918
87	0.7269478147
88	0.7224359097
89	0.7177960568
90	0.7137244674
91	0.7100318005
92	0.7059048869
93	0.7013453414
94	0.6977479338
95	0.6938952588
96	0.6900195386
97	0.6864112926
98	0.6830744964
99	0.6795085782
100	0.675004143
101	0.6715751534
102	0.6681642147
103	0.6650084453
104	0.6618908597
105	0.658247329
106	0.6546450475
107	0.6519350639
108	0.6489397841
109	0.6455832892
110	0.6429700481
111	0.6392903447
112	0.6364340462
113	0.6338216149
114	0.6313201315
115	0.6280245776
116	0.6255359374
117	0.622659115
118	0.6203244374
119	0.6177461181
120	0.6155779183
121	0.6132894043
122	0.610997689
123	0.6075788861
124	0.6050185945
125	0.6022882552
126	0.599682035
127	0.5973476892
128	0.594418657
129	0.5920915948
130	0.5903291106
131	0.58855589
132	0.586329173
133	0.584680202
134	0.5829474004
135	0.5810375126
136	0.5795388286
137	0.5774842901
138	0.5758956581
139	0.5741284096
140	0.5720387459
141	0.5703197655
142	0.5683116552
143	0.5666200072
144	0.5650866821
145	0.5634779289
146	0.5617166468
147	0.5600408334
148	0.5584672009
