iter	Passed	Remaining
0	148	444554
1	171	257291
2	193	193533
3	215	161414
4	236	141692
5	256	127940
6	275	117651
7	294	110295
8	315	104733
9	333	99807
10	355	96641
11	373	93071
12	396	91059
13	417	89100
14	438	87174
15	458	85571
16	479	84108
17	498	82654
18	520	81586
19	541	80653
20	561	79713
21	582	78860
22	601	77872
23	620	76930
24	639	76120
25	657	75221
26	676	74534
27	694	73737
28	712	73035
29	731	72427
30	749	71759
31	769	71382
32	789	70973
33	809	70573
34	828	70162
35	846	69733
36	867	69461
37	887	69149
38	906	68843
39	927	68626
40	947	68397
41	967	68126
42	985	67771
43	1004	67471
44	1025	67317
45	1043	67021
46	1064	66897
47	1082	66552
48	1104	66547
49	1123	66269
50	1141	66033
51	1162	65915
52	1186	65974
53	1205	65768
54	1225	65616
55	1246	65535
56	1267	65425
57	1286	65280
58	1307	65163
59	1327	65030
60	1347	64926
61	1368	64865
62	1387	64672
63	1406	64530
64	1425	64386
65	1446	64295
66	1464	64121
67	1484	64017
68	1503	63883
69	1523	63776
70	1543	63689
71	1562	63555
72	1582	63462
73	1601	63319
74	1621	63234
75	1640	63110
76	1657	62934
77	1677	62830
78	1695	62702
79	1715	62610
80	1733	62484
81	1752	62373
82	1772	62279
83	1791	62205
84	1810	62090
85	1829	61983
86	1848	61893
87	1867	61791
88	1884	61645
89	1904	61574
90	1924	61513
91	1943	61431
92	1963	61367
93	1984	61336
94	2003	61257
95	2022	61169
96	2041	61086
97	2058	60966
98	2077	60883
99	2097	60840
100	2117	60792
101	2137	60718
102	2156	60657
103	2175	60565
104	2193	60489
105	2212	60411
106	2231	60331
107	2250	60250
108	2267	60142
109	2285	60056
110	2305	59994
111	2325	59958
112	2343	59864
113	2361	59795
114	2379	59702
115	2398	59640
116	2418	59582
117	2438	59560
118	2458	59521
119	2484	59620
120	2505	59613
121	2526	59607
122	2546	59564
123	2568	59568
124	2588	59546
125	2610	59542
126	2628	59466
127	2649	59442
128	2669	59407
129	2688	59359
130	2708	59308
131	2728	59292
132	2749	59279
133	2769	59233
134	2789	59192
135	2809	59156
136	2830	59143
137	2850	59119
138	2871	59094
139	2890	59057
140	2912	59057
141	2932	59031
142	2953	59011
143	2975	59005
144	2997	59011
145	3020	59039
146	3051	59218
147	3079	59344
148	3111	59530
149	3134	59556
150	3152	59488
151	3179	59580
152	3200	59550
153	3229	59674
154	3255	59759
155	3278	59769
156	3301	59779
157	3323	59785
158	3346	59802
159	3369	59812
160	3389	59772
161	3409	59735
162	3430	59703
163	3451	59686
164	3472	59659
165	3494	59660
166	3514	59613
167	3535	59595
168	3555	59559
169	3575	59519
170	3595	59477
171	3614	59432
172	3633	59374
173	3651	59307
174	3671	59271
175	3690	59220
176	3711	59189
177	3730	59147
178	3751	59120
179	3769	59055
180	3789	59023
181	3813	59045
182	3835	59044
183	3857	59040
184	3877	59008
185	3899	58989
186	3919	58959
187	3938	58912
188	3956	58846
189	3977	58819
190	3996	58782
191	4017	58755
192	4039	58743
193	4059	58716
194	4080	58702
195	4101	58678
196	4122	58659
197	4143	58631
198	4162	58588
199	4182	58551
200	4201	58509
201	4223	58496
202	4242	58461
203	4262	58421
204	4282	58382
205	4302	58356
206	4323	58335
207	4343	58299
208	4363	58264
209	4382	58222
210	4401	58180
211	4420	58139
212	4440	58098
213	4459	58062
214	4480	58035
215	4499	57994
216	4520	57974
217	4540	57938
218	4560	57908
219	4581	57894
220	4602	57871
221	4622	57844
222	4644	57832
223	4664	57800
224	4684	57772
225	4705	57752
226	4724	57707
227	4743	57671
228	4762	57626
229	4781	57587
230	4800	57541
231	4819	57499
232	4839	57469
233	4857	57423
234	4879	57408
235	4904	57436
236	4929	57464
237	4952	57477
238	4974	57468
239	4993	57428
240	5012	57387
241	5033	57366
242	5053	57338
243	5074	57312
244	5094	57290
245	5114	57255
246	5134	57226
247	5152	57173
248	5172	57143
249	5190	57100
250	5210	57064
251	5230	57036
252	5250	57006
253	5270	56977
254	5290	56950
255	5309	56915
256	5329	56883
257	5350	56860
258	5372	56854
259	5396	56870
260	5421	56896
261	5446	56918
262	5468	56905
263	5489	56892
264	5510	56874
265	5532	56865
266	5553	56840
267	5572	56809
268	5592	56781
269	5611	56737
270	5630	56703
271	5650	56675
272	5670	56644
273	5690	56609
274	5709	56572
275	5729	56547
276	5748	56510
277	5768	56479
278	5788	56449
279	5806	56405
280	5825	56371
281	5845	56336
282	5864	56301
283	5883	56270
284	5903	56237
285	5922	56202
286	5942	56172
287	5963	56159
288	5983	56127
289	6008	56145
290	6031	56150
291	6054	56150
292	6076	56136
293	6097	56122
294	6115	56078
295	6135	56048
296	6156	56025
297	6176	56003
298	6198	55989
299	6219	55971
300	6238	55941
301	6260	55929
302	6280	55903
303	6300	55877
304	6320	55845
305	6341	55825
306	6360	55794
307	6380	55763
308	6398	55723
309	6417	55690
310	6436	55651
311	6456	55621
312	6475	55592
313	6496	55568
314	6515	55540
315	6536	55517
316	6557	55503
317	6578	55483
318	6598	55457
319	6618	55430
320	6637	55399
321	6660	55390
322	6680	55370
323	6701	55346
324	6721	55324
325	6741	55297
326	6760	55262
327	6780	55239
328	6801	55221
329	6820	55180
330	6841	55165
331	6861	55141
332	6881	55117
333	6902	55096
334	6922	55066
335	6941	55037
336	6961	55007
337	6981	54982
338	7001	54956
339	7021	54929
340	7040	54898
341	7059	54866
342	7077	54827
343	7094	54776
344	7114	54749
345	7134	54721
346	7153	54693
347	7174	54673
348	7195	54658
349	7215	54629
350	7235	54608
351	7256	54591
352	7278	54576
353	7296	54540
354	7321	54551
355	7345	54554
356	7368	54553
357	7391	54552
358	7415	54553
359	7434	54520
360	7454	54496
361	7474	54467
362	7493	54437
363	7512	54405
364	7531	54368
365	7552	54351
366	7570	54311
367	7589	54278
368	7608	54248
369	7628	54225
370	7647	54193
371	7667	54164
372	7686	54136
373	7705	54104
374	7724	54073
375	7745	54052
376	7764	54023
377	7783	53991
378	7802	53955
379	7820	53920
380	7838	53884
381	7857	53851
382	7876	53820
383	7894	53784
384	7914	53757
385	7933	53725
386	7953	53702
387	7973	53678
388	7993	53651
389	8013	53631
390	8033	53603
391	8053	53582
392	8074	53561
393	8094	53535
394	8113	53506
395	8133	53483
396	8153	53458
397	8172	53431
398	8193	53412
399	8212	53381
400	8232	53355
401	8252	53331
402	8272	53311
403	8293	53293
404	8313	53268
405	8332	53239
406	8352	53215
407	8374	53201
408	8394	53180
409	8414	53156
410	8434	53130
411	8453	53103
412	8473	53078
413	8493	53051
414	8513	53027
415	8533	53004
416	8552	52977
417	8573	52959
418	8590	52919
419	8615	52921
420	8637	52911
421	8658	52892
422	8680	52883
423	8702	52873
424	8724	52861
425	8745	52844
426	8766	52823
427	8786	52800
428	8807	52783
429	8826	52753
430	8847	52735
431	8867	52711
432	8887	52685
433	8907	52666
434	8926	52635
435	8946	52612
436	8966	52590
437	8985	52560
438	9005	52536
439	9026	52517
440	9045	52489
441	9065	52463
442	9084	52438
443	9105	52415
444	9124	52387
445	9143	52359
446	9163	52337
447	9183	52313
448	9203	52287
449	9222	52262
450	9242	52238
451	9263	52218
452	9284	52202
453	9305	52182
454	9324	52155
455	9341	52114
456	9361	52093
457	9381	52070
458	9403	52055
459	9419	52012
460	9438	51984
461	9458	51960
462	9478	51935
463	9497	51909
464	9517	51886
465	9537	51860
466	9558	51843
467	9577	51815
468	9595	51783
469	9614	51756
470	9632	51723
471	9653	51704
472	9674	51685
473	9695	51669
474	9718	51659
475	9742	51658
476	9766	51658
477	9784	51625
478	9804	51600
479	9826	51588
480	9847	51571
481	9868	51552
482	9887	51527
483	9908	51507
484	9927	51482
485	9948	51462
486	9967	51435
487	9987	51412
488	10007	51386
489	10028	51368
490	10047	51344
491	10067	51319
492	10087	51295
493	10108	51278
494	10128	51253
495	10147	51228
496	10167	51204
497	10186	51178
498	10206	51157
499	10226	51132
500	10245	51105
501	10262	51066
502	10283	51047
503	10302	51023
504	10322	50998
505	10342	50975
506	10363	50958
507	10384	50940
508	10403	50914
509	10422	50884
510	10442	50863
511	10460	50830
512	10478	50798
513	10498	50776
514	10517	50748
515	10535	50719
516	10557	50703
517	10578	50686
518	10599	50668
519	10619	50648
520	10641	50632
521	10662	50617
522	10682	50594
523	10701	50567
524	10722	50550
525	10743	50529
526	10761	50499
527	10785	50493
528	10806	50477
529	10827	50461
530	10851	50454
531	10872	50436
532	10893	50422
533	10912	50393
534	10932	50372
535	10953	50355
536	10972	50326
537	10992	50305
538	11013	50284
539	11030	50248
540	11050	50229
541	11070	50206
542	11091	50185
543	11109	50155
544	11129	50133
545	11149	50110
546	11168	50084
547	11188	50061
548	11207	50034
549	11227	50012
550	11246	49987
551	11266	49964
552	11286	49941
553	11306	49918
554	11325	49893
555	11345	49873
556	11365	49848
557	11383	49816
558	11403	49796
559	11423	49772
560	11440	49740
561	11458	49706
562	11475	49674
563	11494	49647
564	11515	49627
565	11536	49610
566	11555	49585
567	11576	49566
568	11596	49543
569	11615	49519
570	11634	49492
571	11653	49466
572	11672	49438
573	11690	49409
574	11708	49380
575	11727	49355
576	11747	49330
577	11767	49307
578	11785	49279
579	11804	49254
580	11825	49235
581	11845	49214
582	11866	49194
583	11886	49175
584	11906	49154
585	11927	49133
586	11946	49108
587	11967	49090
588	11989	49078
589	12008	49051
590	12029	49032
591	12050	49014
592	12071	48998
593	12088	48963
594	12111	48954
595	12133	48940
596	12153	48919
597	12174	48903
598	12196	48889
599	12217	48869
600	12237	48849
601	12258	48829
602	12280	48817
603	12302	48803
604	12324	48789
605	12344	48768
606	12366	48751
607	12385	48728
608	12402	48692
609	12423	48674
610	12442	48650
611	12462	48629
612	12483	48609
613	12503	48587
614	12522	48564
615	12542	48541
616	12562	48519
617	12582	48497
618	12601	48473
619	12620	48446
620	12639	48422
621	12660	48402
622	12679	48378
623	12699	48356
624	12719	48333
625	12739	48310
626	12758	48285
627	12776	48257
628	12795	48234
629	12815	48209
630	12835	48188
631	12854	48163
632	12873	48139
633	12890	48105
634	12905	48064
635	12924	48038
636	12941	48006
637	12960	47982
638	12979	47957
639	12999	47936
640	13018	47910
641	13038	47890
642	13058	47867
643	13078	47845
644	13099	47827
645	13119	47807
646	13139	47785
647	13159	47764
648	13179	47741
649	13198	47718
650	13217	47693
651	13237	47670
652	13257	47648
653	13274	47619
654	13292	47590
655	13311	47565
656	13331	47541
657	13344	47494
658	13360	47461
659	13380	47438
660	13398	47410
661	13419	47395
662	13442	47382
663	13462	47362
664	13483	47343
665	13503	47322
666	13520	47291
667	13537	47259
668	13556	47236
669	13576	47214
670	13596	47192
671	13616	47172
672	13636	47151
673	13656	47130
674	13677	47111
675	13697	47090
676	13718	47071
677	13738	47049
678	13757	47026
679	13778	47010
680	13796	46981
681	13817	46962
682	13836	46940
683	13856	46918
684	13876	46896
685	13895	46872
686	13913	46844
687	13931	46815
688	13950	46792
689	13970	46770
690	13991	46752
691	14011	46730
692	14030	46708
693	14051	46689
694	14070	46665
695	14090	46643
696	14109	46621
697	14129	46598
698	14149	46576
699	14169	46555
700	14189	46537
701	14208	46512
702	14227	46487
703	14246	46464
704	14265	46439
705	14284	46414
706	14303	46390
707	14321	46363
708	14340	46338
709	14356	46304
710	14375	46280
711	14395	46260
712	14413	46231
713	14434	46215
714	14460	46214
715	14486	46209
716	14511	46205
717	14537	46204
718	14555	46178
719	14576	46157
720	14594	46131
721	14614	46109
722	14633	46085
723	14653	46065
724	14673	46043
725	14694	46026
726	14714	46005
727	14733	45982
728	14752	45956
729	14771	45932
730	14790	45910
731	14810	45888
732	14830	45866
733	14849	45843
734	14869	45821
735	14888	45798
736	14908	45777
737	14928	45755
738	14947	45731
739	14967	45710
740	14986	45687
741	15006	45667
742	15026	45646
743	15046	45625
744	15066	45603
745	15086	45583
746	15108	45567
747	15128	45547
748	15150	45532
749	15172	45516
750	15197	45510
751	15219	45495
752	15239	45476
753	15259	45453
754	15279	45432
755	15297	45407
756	15316	45383
757	15334	45356
758	15353	45333
759	15373	45311
760	15394	45293
761	15411	45264
762	15430	45238
763	15450	45218
764	15469	45193
765	15488	45172
